"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2490776",1,"1","Y","F",22,"A","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",2002,"MITSUBISHI","A","1","0","O",,"-","-",2006
"2490776",2,"1","N","M",36,"A","-","N","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2006,"TOYOTA","A","8","0","O",,"-","-",2006
"2491005",1,"1","Y","M",39,"A","-","S","A","G","Y","-","3","-","-","-",,,"H","-",0,0,"B",1988,"FORD","D","22","0","W",,"-","-",2006
"2491005",2,"1","N","F",49,"A","-","S","M","H","Y","-","1","-","-","-",,,"M","-",0,1,"A",2000,"HONDA","A","1","0","A",,"-","-",2006
"2492855",1,"1","Y","M",44,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2001,"MAZDA","A","7","0","A",,"-","-",2006
"2492855",2,"1","N","M",26,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,4,"A",1998,"TOYOTA","A","1","0","A",,"-","-",2006
"2497928",1,"1","Y","M",55,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1991,"TOYOTA","A","1","0",,,"-","-",2006
"2497928",2,"1","N","F",37,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",1998,"NISSAN","A","1","0",,,"-","-",2006
"2497932",1,"1","Y","M",18,"A","-","E","P","G","Y","-","3","-","-","-",,,"N","-",0,0,"H",1971,"VOLKSWAGEN","A","1","0",,,"-","-",2006
"2497932",2,"1","N","F",62,"A","-","E","M","G","N","-","3","-","-","-",,,"N","-",0,1,"A",1996,"HONDA","A","8","0",,,"-","-",2006
"2497968",1,"1","Y","M",33,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"L",1998,"FORD","A","1","0","O",,"-","-",2006
"2497968",2,"4","N","M",16,"A","-","W","-","-","O","-","3","-",,"27",21650,"1","A","N",0,1,"B",,"-","L","4","0","H",,"-","-",2006
"2497980",1,"1","Y","F",55,"A","-","N","M","G","N","-","3","-","-","-",,,"N","-",0,0,"D",1998,"DODGE","A","1","0","H",,"-","-",2006
"2497980",2,"4","N","F",29,"A","-","N","-","-","O","-","3","-","-","-",,,"N","-",0,1,"B",,"-","L","4","0","W",,"-","-",2006
"2497984",2,"1","N","F",19,"A","-","N","M","G","Y","-","2","-","-","-",,,"-","-",0,1,"B",1994,"FORD","A","1","0","H",,"-","-",2006
"2497984",1,"1","Y","F",19,"B","-","N","M","G","N","-","2","-",,"30",21703,,"A","-",0,0,"B",2002,"TOYOTA","A","1","0","H",,"-","-",2006
"2498000",2,"1","N","M",82,"A","-","W","P","-",,"-","3","-","-","-",,,"N","-",0,1,"B",,"-","C","3","0","W",,"-","-",2006
